"Entry ID","Structure Author","Deposition Date","Resolution (Å)","Citation Author","Title","Publication Year","Structure Title","Expression Host","Source Organism","Total Number of Polymer Residues per Assembly",
"1C2W","Brimacombe, R.","1999-07-28","7.5, 7.5","Mueller, F., Sommer, I., Baranov, P., Matadeen, R., Stoldt, M., Wohnert, J., Gorlach, M., van Heel, M., Brimacombe, R.","The 3D arrangement of the 23 S and 5 S rRNA in the Escherichia coli 50 S ribosomal subunit based on a cryo-electron microscopic reconstruction at 7.5 A resolution.",2000,"23S RRNA STRUCTURE FITTED TO A CRYO-ELECTRON MICROSCOPIC MAP AT 7.5 ANGSTROMS RESOLUTION",,"Escherichia coli",2904,
,"Mueller, F.",,,,,,,,,,
"1EG0","Gabashvili, I.S.","2000-02-11","11.5, 11.5","Gabashvili, I.S., Agrawal, R.K., Spahn, C.M., Grassucci, R.A., Svergun, D.I., Frank, J., Penczek, P.","Solution structure of the E. coli 70S ribosome at 11.5 A resolution.",2000,"FITTING OF COMPONENTS WITH KNOWN STRUCTURE INTO AN 11.5 A CRYO-EM MAP OF THE E.COLI 70S RIBOSOME",,"Escherichia coli",1702,
,"Agrawal, R.K.",,,,,,,,"Escherichia coli",,
,"Spahn, C.M.T.",,,,,,,,"Escherichia coli",,
,"Grassucci, R.A.",,,,,,,,"Escherichia coli",,
,"Svergun, D.I.",,,,,,,,"Escherichia coli",,
,"Frank, J.",,,,,,,,"Escherichia coli",,
,"Penczek, P.",,,,,,,,"Escherichia coli",,
,,,,,,,,,"Escherichia coli",,
,,,,,,,,,"Escherichia coli",,
,,,,,,,,,"Escherichia coli",,
,,,,,,,,,"Escherichia coli",,
,,,,,,,,,"Escherichia coli",,
,,,,,,,,,"Escherichia coli",,
,,,,,,,,,"Escherichia coli",,
,,,,,,,,,"Escherichia coli",,
"1FFK","Ban, N.","2000-07-25","2.4","Ban, N., Nissen, P., Hansen, J., Moore, P.B., Steitz, T.A.","The complete atomic structure of the large ribosomal subunit at 2.4 A resolution.",2000,"CRYSTAL STRUCTURE OF THE LARGE RIBOSOMAL SUBUNIT FROM HALOARCULA MARISMORTUI AT 2.4 ANGSTROM RESOLUTION",,"Haloarcula marismortui",6825,
,"Nissen, P.",,,,,,,,"Haloarcula marismortui",,
,"Hansen, J.",,,,,,,,"Haloarcula marismortui",,
,"Moore, P.B.",,,,,,,,"Haloarcula marismortui",,
,"Steitz, T.A.",,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
,,,,,,,,,"Haloarcula marismortui",,
"1FJG","Carter, A.P.","2000-08-08","3","Carter, A.P., Clemons Jr., W.M., Brodersen, D.E., Morgan-Warren, R.J., Wimberly, B.T., Ramakrishnan, V.","Functional insights from the structure of the 30S ribosomal subunit and its interactions with antibiotics",2000,"STRUCTURE OF THE THERMUS THERMOPHILUS 30S RIBOSOMAL SUBUNIT IN COMPLEX WITH THE ANTIBIOTICS STREPTOMYCIN, SPECTINOMYCIN, AND PAROMOMYCIN",,"Thermus thermophilus",4068,
,"Clemons Jr., W.M.",,,,,,,,"Thermus thermophilus",,
,"Brodersen, D.E.",,,,,,,,"Thermus thermophilus",,
,"Wimberly, B.T.",,,,,,,,"Thermus thermophilus",,
,"Morgan-Warren, R.J.",,,,,,,,"Thermus thermophilus",,
,"Ramakrishnan, V.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1FKA","Schluenzen, F.","2000-08-09","3.3","Schluenzen, F., Tocilj, A., Zarivach, R., Harms, J., Gluehmann, M., Janell, D., Bashan, A., Bartels, H., Agmon, I., Franceschi, F., Yonath, A.","Structure of functionally activated small ribosomal subunit at 3.3 angstroms resolution.",2000,"STRUCTURE OF FUNCTIONALLY ACTIVATED SMALL RIBOSOMAL SUBUNIT AT 3.3 A RESOLUTION",,"Thermus thermophilus",3524,
,"Tocilj, A.",,,,,,,,"Thermus thermophilus",,
,"Zarivach, R.",,,,,,,,"Thermus thermophilus",,
,"Harms, J.",,,,,,,,"Thermus thermophilus",,
,"Gluehmann, M.",,,,,,,,"Thermus thermophilus",,
,"Janell, D.",,,,,,,,"Thermus thermophilus",,
,"Bashan, A.",,,,,,,,"Thermus thermophilus",,
