description,ids
tRNA-Phe,300852
mRNA,300852
mRNA,300852
tRNA-Phe,300852
tRNA-fMet,300852
tRNA-Phe,300852
tRNA-Phe,300852
tRNA-fMet,300852
P-site tRNA,9986
mRNA,9986
TRNA-FMET,"300852,1110693"
TRNA-FMET,"300852,1110693"
TRNA-LEU,"300852,1110693"
MRNA,"300852,1110693"
TRNA-LEU,"300852,1110693"
TRNA-FMET,"300852,1110693"
TRNA-FMET,"300852,1110693"
MRNA,"300852,1110693"
tRNA-Tyr,300852
mRNA,300852
mRNA,300852
tRNA-Tyr,300852
tRNA-fMET,300852
tRNA-Tyr,300852
tRNA-Tyr,300852
tRNA-fMET,300852
P AND A-SITE PHE-TRNA PHE,300852
P AND A-SITE PHE-TRNA PHE,300852
P AND A-SITE PHE-TRNA PHE,300852
MRNA,300852
MRNA,300852
E-SITE TRNA PHE,300852
P AND A-SITE PHE-TRNA PHE,300852
E-SITE TRNA PHE,300852
HUMAN INITIATOR MET-TRNA-I,9606
mRNA,300852
E. coli tRNAPhe,300852
E. coli tRNAPhe,300852
E. coli tRNAPhe,300852
E. coli tRNAPhe,300852
E. coli tRNAPhe,300852
E. coli tRNAPhe,300852
E. coli tRNAPhe,300852
mRNA,300852
VIRGINIAMYCIN S1,"562,1961"
E-site tRNA,1280
"Translation initiation factor IF-3, mitochondrial","9606,469008"
"Translation initiation factor IF-2, mitochondrial","9606,469008"
tRNA CCA end (5'-R(P*CP*CP*A)-3'),562
Elongation factor G,"262724,1883"
Elongation factor G,"262724,1883"
Viomycin,"262724,1883"
Viomycin,"262724,1883"
tRNA-Met,"262724,1883"
messenger RNA,"262724,1883"
tRNA-Met,"262724,1883"
messenger RNA,"262724,1883"
E-site tRNA,300852
P-site tRNA,300852
P-site tRNA,300852
Cytidine-Puromycin,300852
mRNA,300852
mRNA,300852
E-site tRNA,300852
Cytidine-Puromycin,300852
Apidaecin,"562,7460"
Peptide chain release factor RF1,"562,7460"
Peptide chain release factor RF3,"562,7460"
mRNA,"562,7460"
fMet-tRNA,"562,7460"
DDB1- and CUL4-associated factor 13,9606
Bystin,9606
A-site tRNA,3039
A-tRNA,3039
P-tRNA,3039
E-tRNA,3039
mitochondrial tRNAVal,"9606,469008"
tRNAfMet,300852
tRNAArg,300852
tRNAArg,300852
tRNAfMet,300852
mRNA,300852
mRNA,300852
tRNAArg,300852
tRNAArg,300852
mRNA,83333
tRNAfMet,83333
tRNAPro,83333
tRNAfMet,83333
Eukaryotic translation initiation factor 6,559292
Ribosome assembly factor MRT4,559292
A/P-site tRNA,300852
E-site tRNA,300852
A/P-site tRNA,300852
E-site tRNA,300852
mRNA,300852
mRNA,300852
A/P-site tRNA,300852
A/P-site tRNA,300852
mRNA,"83333,10665"
P-site tRNA-Gly,"83333,10665"
Eukaryotic translation initiation factor 6,559292
P-site tRNA,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
