"Assembly ID","Deposition Date","PDB ID","DOI","Title",
"5LZW-1","2016-10-02","5LZW","10.1016/j.cell.2016.10.046","Decoding Mammalian Ribosome-mRNA States by Translational GTPase Complexes.",
"5MMM-1","2016-12-11","5MMM","10.15252/embj.201695959","The complete structure of the chloroplast 70S ribosome in complex with translation factor pY.",
"5MMJ-1","2016-12-10","5MMJ","10.15252/embj.201695959","The complete structure of the chloroplast 70S ribosome in complex with translation factor pY.",
"4V7K-1","2009-11-02","4V7K","10.1016/j.cell.2009.11.015","The structural basis for mRNA recognition and cleavage by the ribosome-dependent endonuclease RelE.",
"4V7K-2","2009-11-02","4V7K","10.1016/j.cell.2009.11.015","The structural basis for mRNA recognition and cleavage by the ribosome-dependent endonuclease RelE.",
"5LZV-1","2016-10-02","5LZV","10.1016/j.cell.2016.10.046","Decoding Mammalian Ribosome-mRNA States by Translational GTPase Complexes.",
"5MMI-1","2016-12-10","5MMI","10.15252/embj.201695959","The complete structure of the chloroplast 70S ribosome in complex with translation factor pY.",
"4LT8-1","2013-07-23","4LT8","10.1073/pnas.1409436111","Structural insights into +1 frameshifting promoted by expanded or modification-deficient anticodon stem loops.",
"4LT8-2","2013-07-23","4LT8","10.1073/pnas.1409436111","Structural insights into +1 frameshifting promoted by expanded or modification-deficient anticodon stem loops.",
"4V7J-2","2009-11-02","4V7J","10.1016/j.cell.2009.11.015","The structural basis for mRNA recognition and cleavage by the ribosome-dependent endonuclease RelE.",
"4V7J-1","2009-11-02","4V7J","10.1016/j.cell.2009.11.015","The structural basis for mRNA recognition and cleavage by the ribosome-dependent endonuclease RelE.",
"1F7Y-1","2000-06-28","1F7Y","10.1006/jmbi.2000.4204","The crystal structure of UUCG tetraloop.",
"1XNR-1","2004-10-05","1XNR","10.1038/nsmb866","Structure of a purine-purine wobble base pair in the decoding center of the ribosome.",
"6AWD-1","2017-09-05","6AWD","10.7554/eLife.28560","Structure of RNA polymerase bound to ribosomal 30S subunit.",
"5LZU-1","2016-10-02","5LZU","10.1016/j.cell.2016.10.046","Decoding Mammalian Ribosome-mRNA States by Translational GTPase Complexes.",
"5ZLU-1","2018-03-29","5ZLU","10.1073/pnas.1803313115","Ribosome protection by antibiotic resistance ATP-binding cassette protein.",
"2D3O-1","2005-09-30","2D3O","10.1016/j.str.2005.08.007","The Binding Mode of the Trigger Factor on the Ribosome: Implications for Protein Folding and SRP Interaction",
"1FG0-1","2000-07-26","1FG0","10.1126/science.289.5481.920","The structural basis of ribosome activity in peptide bond synthesis.",
"3J0P-1","2011-10-06","3J0P","10.1016/j.molcel.2011.07.040","Structure and dynamics of the Mammalian ribosomal pretranslocation complex.",
"5EM2-1","2015-11-05","5EM2","10.1093/nar/gkv1365","Concerted removal of the Erb1-Ytm1 complex in ribosome biogenesis relies on an elaborate interface.",
"5EM2-2","2015-11-05","5EM2","10.1093/nar/gkv1365","Concerted removal of the Erb1-Ytm1 complex in ribosome biogenesis relies on an elaborate interface.",
"5OSG-1","2017-08-17","5OSG","10.1016/j.str.2017.09.014","The cryo-EM Structure of a Novel 40S Kinetoplastid-Specific Ribosomal Protein.",
"3J0L-1","2011-10-04","3J0L","10.1016/j.molcel.2011.07.040","Structure and dynamics of the Mammalian ribosomal pretranslocation complex.",
"4V4H-1","2006-08-04","4V4H","10.1038/nsmb1150","Structural analysis of kasugamycin inhibition of translation.",
"4V4H-2","2006-08-04","4V4H","10.1038/nsmb1150","Structural analysis of kasugamycin inhibition of translation.",
"3JAJ-1","2015-06-16","3JAJ","10.7554/eLife.07975","Structures of the scanning and engaged states of the mammalian SRP-ribosome complex.",
