DOI,PDB ID,Deposition Date,Struct Count,Experimental Method
10.1006/bbrc.1999.0470,"['2MLL', '1CE7']","['1999']",2,X-RAY DIFFRACTION
10.1007/s13238-018-0526-7,"['5Z1G', '5Z3G']","['2017', '2018']",2,X-RAY DIFFRACTION
10.1016/j.molcel.2008.01.009,"['2ZJQ', '2ZJR']","['2008']",2,X-RAY DIFFRACTION
10.1016/J.CELL.2014.04.015,"['4V92', '4V91']","['2014']",2,ELECTRON MICROSCOPY
10.1016/J.MOLCEL.2008.01.009,"['2ZJP', '3CF5']","['2008']",2,X-RAY DIFFRACTION
10.1016/j.jmb.2014.12.018,"['4WT8']","['2014']",1,X-RAY DIFFRACTION
10.1016/j.jmb.2006.01.094,"['2FTC']","['2006']",1,ELECTRON MICROSCOPY
10.1126/sciadv.1700147,"['5NP6']","['2017']",1,ELECTRON MICROSCOPY
10.1126/science.1060089,"['4V42']","['2001']",1,X-RAY DIFFRACTION
10.1126/science.1057766,"['1HR0']","['2000']",1,X-RAY DIFFRACTION
10.1126/science.1105639,"['4V4P']","['2005']",1,X-RAY DIFFRACTION
10.1093/nar/gkw1272,"['5MLC']","['2016']",1,ELECTRON MICROSCOPY
10.1016/j.molcel.2007.01.027,"['2OM7']","['2007']",1,ELECTRON MICROSCOPY
10.1016/j.molcel.2014.09.014,"['3J7Z']","['2014']",1,ELECTRON MICROSCOPY
10.1126/science.1131127,"['4V51']","['2006']",1,X-RAY DIFFRACTION
10.1126/science.1117230,"['4V4Q']","['2005']",1,X-RAY DIFFRACTION
10.1126/science.1164840,"['4V5E']","['2009']",1,X-RAY DIFFRACTION
10.1016/j.jmb.2004.10.011,"['1WKI']","['2004']",1,SOLUTION NMR
10.1126/science.1175800,"['4V6A']","['2009']",1,X-RAY DIFFRACTION
10.1126/science.1177662,"['4V5H']","['2009']",1,ELECTRON MICROSCOPY
10.1126/science.1179700,"['4V5G']","['2009']",1,X-RAY DIFFRACTION
10.1126/science.1179709,"['4V5F']","['2009']",1,X-RAY DIFFRACTION
10.1126/science.1194294,"['4V7R']","['2010']",1,X-RAY DIFFRACTION
10.1126/science.1202692,"['4V9D']","['2012']",1,X-RAY DIFFRACTION
10.1126/science.1217039,"['4V8Q']","['2011']",1,X-RAY DIFFRACTION
10.1126/science.1217443,"['4V95']","['2012']",1,X-RAY DIFFRACTION
10.1016/j.jmb.2004.03.076,"['1S72']","['2004']",1,X-RAY DIFFRACTION
10.1016/j.jmb.2007.05.091,"['2QA4']","['2007']",1,X-RAY DIFFRACTION
10.1126/SCIENCE.1198308,"['4V5O']","['2010']",1,X-RAY DIFFRACTION
10.1126/SCIENCE.1211204,"['4V8P']","['2011']",1,X-RAY DIFFRACTION
10.1093/oxfordjournals.jbchem.a003036,"['1IQV']","['2001']",1,X-RAY DIFFRACTION
10.1016/j.jmb.2011.12.055,"['4V8A']","['2011']",1,X-RAY DIFFRACTION
10.1093/nar/gky081,"['5OT7']","['2017']",1,ELECTRON MICROSCOPY
10.1093/nar/gkz053,"['6HHQ']","['2018']",1,X-RAY DIFFRACTION
10.1093/nar/gky054,"['6FEC']","['2017']",1,ELECTRON MICROSCOPY
10.1016/j.jmb.2016.04.018,"['5J4D']","['2016']",1,X-RAY DIFFRACTION
10.1016/j.jmb.2016.05.011,"['5DC3']","['2015']",1,X-RAY DIFFRACTION
10.1093/nar/gkz571,"['6NQB']","['2019']",1,ELECTRON MICROSCOPY
10.1016/j.jmb.2018.01.007,"['6B4V']","['2017']",1,X-RAY DIFFRACTION
10.1016/j.jmb.2008.04.007,"['3BN0']","['2007']",1,X-RAY DIFFRACTION
10.1016/j.molcel.2005.10.028,"['2BCW']","['2005']",1,ELECTRON MICROSCOPY
10.1093/nar/gkx413,"['5VP2']","['2017']",1,X-RAY DIFFRACTION
10.1093/nar/gkw933,"['5LI0']","['2016']",1,ELECTRON MICROSCOPY
10.1107/S0907444901006291,"['1FEU']","['2000']",1,X-RAY DIFFRACTION
10.1016/j.jmb.2013.05.004,"['4KHP']","['2013']",1,X-RAY DIFFRACTION
10.1016/j.isci.2020.101352,"['6XE0']","['2020']",1,ELECTRON MICROSCOPY
10.1107/S0907444902014270,"['1M2T']","['2002']",1,X-RAY DIFFRACTION
10.1107/S090744490302239X,"['1PXW']","['2003']",1,X-RAY DIFFRACTION
10.1093/nar/gkw598,"['4ZSN']","['2015']",1,X-RAY DIFFRACTION
10.1107/S0907444913004745,"['4V9F']","['2012']",1,X-RAY DIFFRACTION
10.1107/S0907444999003297,"['1CF5']","['1999']",1,X-RAY DIFFRACTION
10.1107/S0907444999010227,"['1BXY']","['1998']",1,X-RAY DIFFRACTION
10.1107/S1744309113021799,"['2FC3']","['2005']",1,X-RAY DIFFRACTION
10.1111/j.1365-2958.2004.04346.x,"['1XBP']","['2004']",1,X-RAY DIFFRACTION
10.1016/j.jmb.2007.10.021,"['2RDO']","['2007']",1,ELECTRON MICROSCOPY
10.1126/SCIENCE.1194460,"['4V5L']","['2010']",1,X-RAY DIFFRACTION
10.1093/nar/gkw470,"['5L3P']","['2016']",1,ELECTRON MICROSCOPY
10.1126/science.1235490,"['4V9H']","['2013']",1,X-RAY DIFFRACTION
10.1016/j.chembiol.2017.04.006,"['5MEI']","['2016']",1,X-RAY DIFFRACTION
10.1016/j.febslet.2005.03.023,"['1Z58']","['2005']",1,X-RAY DIFFRACTION
10.1016/S0969-2126(00)00116-7,"['1CJS']","['1999']",1,X-RAY DIFFRACTION
10.1016/S0092-8674(00)80759-X,"['1MMS']","['1999']",1,X-RAY DIFFRACTION
10.1016/S0092-8674(01)00546-3,"['1NKW']","['2003']",1,X-RAY DIFFRACTION
10.15252/EMBJ.201592469,"['5FLX']","['2015']",1,ELECTRON MICROSCOPY
10.1371/journal.pone.0183272,"['5O9E']","['2017']",1,X-RAY DIFFRACTION
10.1371/journal.pone.0058829,"['4V8U']","['2012']",1,X-RAY DIFFRACTION
10.1371/JOURNAL.PBIO.1001866,"['4CSU']","['2014']",1,ELECTRON MICROSCOPY
10.1261/rna.367307,"['2UXB']","['2007']",1,X-RAY DIFFRACTION
10.1016/j.chembiol.2018.02.004,"['6FKR']","['2018']",1,X-RAY DIFFRACTION
10.1261/rna.2357210,"['3OTO']","['2010']",1,X-RAY DIFFRACTION
10.1261/rna.1076908,"['4V64']","['2008']",1,X-RAY DIFFRACTION
10.1261/rna.073817.119,"['6XZ7']","['2020']",1,ELECTRON MICROSCOPY
10.1016/S1074-5521(03)00173-X,"['1OLN']","['2003']",1,"SOLUTION NMR, THEORETICAL MODEL"
10.1261/rna.068965.118,"['6BY1']","['2017']",1,X-RAY DIFFRACTION
10.1261/rna.067660.118,"['6CAO']","['2018']",1,X-RAY DIFFRACTION
10.1016/S0092-8674(00)80690-X,"['1EG0']","['2000']",1,ELECTRON MICROSCOPY
10.15252/embj.201798499,"['6FAI']","['2017']",1,ELECTRON MICROSCOPY
10.1016/S0092-8674(00)00084-2,"['1FKA']","['2000']",1,X-RAY DIFFRACTION
10.15252/embj.2019103788,"['6TMF']","['2019']",1,ELECTRON MICROSCOPY
10.1016/S0022-2836(02)01476-6,"['1NMU']","['2003']",1,X-RAY DIFFRACTION
10.3390/molecules25051125,"['6Y7C']","['2020']",1,ELECTRON MICROSCOPY
10.1016/S0022-2836(02)00147-X,"['1HC8']","['2001']",1,X-RAY DIFFRACTION
10.1016/J.JMB.2012.01.018,"['4ADX']","['2012']",1,ELECTRON MICROSCOPY
10.1016/J.CELREP.2014.09.011,"['4UY8']","['2014']",1,ELECTRON MICROSCOPY
10.1016/J.CELL.2015.11.027,"['5APN']","['2015']",1,ELECTRON MICROSCOPY
10.1016/J.CELL.2014.04.044,"['4UJE']","['2014']",1,ELECTRON MICROSCOPY
10.7554/eLife.25642,"['5NWY']","['2017']",1,ELECTRON MICROSCOPY
10.7554/eLife.30189,"['6EML']","['2017']",1,ELECTRON MICROSCOPY
10.1007/s10541-005-0076-5,"['1KUQ']","['2002']",1,X-RAY DIFFRACTION
10.1006/jmbi.2001.4877,"['1I6U']","['2001']",1,X-RAY DIFFRACTION
10.1006/jmbi.2000.4204,"['1F7Y']","['2000']",1,X-RAY DIFFRACTION
10.7554/eLife.45185,"['6ND4']","['2018']",1,ELECTRON MICROSCOPY
10.1261/rna.062695.117,"['5YDT']","['2017']",1,ELECTRON MICROSCOPY
10.1261/rna.056218.116,"['4YY3']","['2015']",1,X-RAY DIFFRACTION
10.1016/S1097-2765(01)00396-3,"['1JCH']","['2001']",1,X-RAY DIFFRACTION
10.1016/j.celrep.2016.06.014,"['3JCS']","['2016']",1,ELECTRON MICROSCOPY
10.1126/science.1249410,"['3J6B']","['2014']",1,ELECTRON MICROSCOPY
10.1126/science.1253525,"['4W2E']","['2014']",1,X-RAY DIFFRACTION
10.1126/science.1255030,"['4W29']","['2014']",1,X-RAY DIFFRACTION
10.1126/science.1258026,"['3J7Y']","['2014']",1,ELECTRON MICROSCOPY
10.1126/science.284.5417.1171,"['1QA6']","['1999']",1,X-RAY DIFFRACTION
10.1126/science.285.5436.2095,"['486D']","['1999']",1,X-RAY DIFFRACTION
10.1126/science.286.5448.2349,"['1DD5']","['1999']",1,X-RAY DIFFRACTION
10.1126/science.288.5463.107,"['1G1X']","['2000']",1,X-RAY DIFFRACTION
10.1126/science.289.5481.905,"['1FFK']","['2000']",1,X-RAY DIFFRACTION
10.1016/j.molcel.2014.12.015,"['3J92']","['2014']",1,ELECTRON MICROSCOPY
10.1126/science.aaa1193,"['3J9M']","['2015']",1,ELECTRON MICROSCOPY
10.1016/j.chembiol.2005.11.004,"['2F4V']","['2005']",1,X-RAY DIFFRACTION
10.1126/science.aaf7520,"['5MC6']","['2016']",1,ELECTRON MICROSCOPY
10.1016/j.celrep.2017.06.025,"['5VYC']","['2017']",1,X-RAY DIFFRACTION
10.1126/science.aal3059,"['5MY1']","['2017']",1,ELECTRON MICROSCOPY
10.1016/j.bbrc.2006.02.192,"['2CZW']","['2005']",1,X-RAY DIFFRACTION
10.1016/j.cell.2016.06.014,"['5JPQ']","['2016']",1,ELECTRON MICROSCOPY
10.1016/j.cell.2015.11.027,"['5APO']","['2015']",1,ELECTRON MICROSCOPY
10.1126/science.aaz4352,"['6T59']","['2019']",1,ELECTRON MICROSCOPY
10.1128/AAC.00455-07,"['2QEX']","['2007']",1,X-RAY DIFFRACTION
10.1016/j.cell.2015.03.052,"['5AJ0']","['2015']",1,ELECTRON MICROSCOPY
10.1128/AAC.00860-10,"['4WWW']","['2014']",1,X-RAY DIFFRACTION
10.1128/AAC.02266-18,"['6OF1']","['2019']",1,X-RAY DIFFRACTION
10.1128/AAC.04895-14,"['4YHH']","['2015']",1,X-RAY DIFFRACTION
10.1128/JB.185.14.4276-4279.2003,"['1P9X']","['2003']",1,X-RAY DIFFRACTION
10.1016/j.cell.2006.08.032,"['4V4I']","['2007']",1,X-RAY DIFFRACTION
10.1186/1741-7007-2-4,"['1SM1']","['2004']",1,X-RAY DIFFRACTION
10.1261/RNA.2922311,"['4A2I']","['2011']",1,ELECTRON MICROSCOPY
10.1016/j.bmcl.2008.10.011,"['3CXC']","['2008']",1,X-RAY DIFFRACTION
10.1016/j.biochi.2018.10.013,"['6I7V']","['2018']",1,X-RAY DIFFRACTION
10.1016/j.molcel.2014.09.021,"['4W2I']","['2014']",1,X-RAY DIFFRACTION
10.1038/nsb886,"['1MZP']","['2002']",1,X-RAY DIFFRACTION
10.1016/j.molcel.2018.03.001,"['6CAE']","['2018']",1,X-RAY DIFFRACTION
10.1038/s41467-020-14603-7,"['6SXO']","['2019']",1,ELECTRON MICROSCOPY
10.1038/s41564-019-0514-6,"['6RM3']","['2019']",1,ELECTRON MICROSCOPY
10.1038/s41477-020-0631-5,"['6XYW']","['2020']",1,ELECTRON MICROSCOPY
10.1038/s41477-018-0129-6,"['6ERI']","['2017']",1,ELECTRON MICROSCOPY
10.1038/nature12950,"['4V7E']","['2013']",1,ELECTRON MICROSCOPY
10.1038/nature14219,"['4XEJ']","['2014']",1,X-RAY DIFFRACTION
10.1038/nature14275,"['5AFI']","['2015']",1,ELECTRON MICROSCOPY
10.1038/s41467-019-13408-7,"['6SZS']","['2019']",1,ELECTRON MICROSCOPY
10.1038/nature10829,"['3J16']","['2011']",1,ELECTRON MICROSCOPY
10.1038/s41467-019-12589-5,"['6U48']","['2019']",1,ELECTRON MICROSCOPY
10.1038/nature14427,"['4UG0']","['2015']",1,ELECTRON MICROSCOPY
10.1038/nature17675,"['5IQR']","['2016']",1,ELECTRON MICROSCOPY
10.1038/nature17942,"['3JCT']","['2016']",1,ELECTRON MICROSCOPY
10.1038/nature20821,"['5MGP']","['2016']",1,ELECTRON MICROSCOPY
10.1038/nature20822,"['5H5U']","['2016']",1,ELECTRON MICROSCOPY
10.1038/nature11006,"['4V6T']","['2012']",1,ELECTRON MICROSCOPY
10.1038/nature07115,"['4V63']","['2008']",1,X-RAY DIFFRACTION
10.1038/s41467-017-00718-x,"['5MYJ']","['2017']",1,ELECTRON MICROSCOPY
10.1038/emboj.2009.26,"['4V68']","['2008']",1,ELECTRON MICROSCOPY
10.1038/srep35793,"['5H1S']","['2016']",1,ELECTRON MICROSCOPY
10.1038/srep27720,"['5I4L']","['2016']",1,X-RAY DIFFRACTION
10.1038/sj.emboj.7600525,"['1Y69']","['2004']",1,X-RAY DIFFRACTION
10.1038/sj.emboj.7600102,"['4V4B']","['2004']",1,ELECTRON MICROSCOPY
10.1038/NSMB.3103,"['5ADY']","['2015']",1,ELECTRON MICROSCOPY
10.1038/NSMB1242,"['2UUB']","['2007']",1,X-RAY DIFFRACTION
10.1038/s41594-019-0350-7,"['6UCQ']","['2019']",1,X-RAY DIFFRACTION
10.1038/s41586-018-0773-z,"['6HRM']","['2018']",1,ELECTRON MICROSCOPY
10.1038/s41594-019-0331-x,"['6SGC']","['2019']",1,ELECTRON MICROSCOPY
10.1038/s41594-019-0297-8,"['6S0K']","['2019']",1,ELECTRON MICROSCOPY
10.1038/emboj.2010.139,"['4V7P']","['2010']",1,X-RAY DIFFRACTION
10.1038/s41589-020-0578-x,"['6Y69']","['2020']",1,ELECTRON MICROSCOPY
10.1038/nature01225,"['1ML5']","['2002']",1,ELECTRON MICROSCOPY
10.1038/nature06683,"['4V5B']","['2007']",1,X-RAY DIFFRACTION
10.1038/nchem.2800,"['5TBW']","['2016']",1,X-RAY DIFFRACTION
10.1038/nchembio.2462,"['5W4K']","['2017']",1,X-RAY DIFFRACTION
10.1093/nar/gkv1517,"['5GAK']","['2015']",1,ELECTRON MICROSCOPY
10.1038/nsmb.2447,"['4GMQ']","['2012']",1,X-RAY DIFFRACTION
10.1038/ncomms4491,"['4V7F']","['2013']",1,ELECTRON MICROSCOPY
10.1038/ncomms4501,"['3J5L']","['2013']",1,ELECTRON MICROSCOPY
10.1038/nsmb.2741,"['3J5S']","['2013']",1,ELECTRON MICROSCOPY
10.1038/ncomms6294,"['4V3P']","['2014']",1,ELECTRON MICROSCOPY
10.1038/nsmb.2645,"['4V90']","['2014']",1,X-RAY DIFFRACTION
10.1038/nsmb.2622,"['4BTS']","['2013']",1,X-RAY DIFFRACTION
10.1038/nsmb.2360,"['4V9C']","['2012']",1,X-RAY DIFFRACTION
10.1038/nsmb.3031,"['4Z8C']","['2015']",1,X-RAY DIFFRACTION
10.1038/nsmb.2026,"['4V6M']","['2011']",1,ELECTRON MICROSCOPY
10.1038/nsmb.1896,"['4V5K']","['2010']",1,X-RAY DIFFRACTION
10.1038/ncomms7941,"['3J9W']","['2015']",1,ELECTRON MICROSCOPY
10.1038/ncomms8896,"['4WOI']","['2014']",1,X-RAY DIFFRACTION
10.1038/nmicrobiol.2017.31,"['5UMD']","['2017']",1,ELECTRON MICROSCOPY
10.1038/nsmb.1469,"['3DEG']","['2008']",1,ELECTRON MICROSCOPY
10.1038/nsmb.2994,"['4YBB']","['2015']",1,X-RAY DIFFRACTION
10.1038/nsmb.3034,"['4ZER']","['2015']",1,X-RAY DIFFRACTION
10.1038/nsmb850,"['4V4G']","['2004']",1,X-RAY DIFFRACTION
10.1038/nsmb.3472,"['5WLC']","['2017']",1,ELECTRON MICROSCOPY
10.1038/nsmb1282,"['4V5A']","['2007']",1,X-RAY DIFFRACTION
10.1038/ncomms12856,"['5LKS']","['2016']",1,ELECTRON MICROSCOPY
10.1038/nsmb1177,"['2NOQ']","['2006']",1,ELECTRON MICROSCOPY
10.1038/nsmb1150,"['4V4H']","['2006']",1,X-RAY DIFFRACTION
10.1038/nsmb1145,"['2HHH']","['2006']",1,X-RAY DIFFRACTION
10.1038/nsmb.3476,"['5OQL']","['2017']",1,ELECTRON MICROSCOPY
10.1038/ncomms13248,"['5LW7']","['2016']",1,ELECTRON MICROSCOPY
10.1038/nsmb.3112,"['6QKL']","['2019']",1,ELECTRON MICROSCOPY
10.1038/nsmb.3439,"['5O2R']","['2017']",1,ELECTRON MICROSCOPY
10.1038/nsmb.3396,"['5LL6']","['2016']",1,ELECTRON MICROSCOPY
10.1038/nsmb.3364,"['5H4P']","['2016']",1,ELECTRON MICROSCOPY
10.1038/ncomms13521,"['5M1J']","['2016']",1,ELECTRON MICROSCOPY
10.1038/ncomms15470,"['5NCO']","['2017']",1,ELECTRON MICROSCOPY
10.1038/ncomms2470,"['4V6V']","['2013']",1,ELECTRON MICROSCOPY
10.1038/srep39004,"['5HL7']","['2016']",1,X-RAY DIFFRACTION
10.1073/PNAS.1104645108,"['2YKR']","['2011']",1,ELECTRON MICROSCOPY
10.1073/PNAS.1112185108,"['4V8O']","['2011']",1,X-RAY DIFFRACTION
10.1073/pnas.1901310116,"['6N1D']","['2018']",1,X-RAY DIFFRACTION
10.1074/jbc.AW118.003232,"['6DNC']","['2018']",1,ELECTRON MICROSCOPY
10.1016/j.str.2013.04.028,"['4V9N']","['2013']",1,X-RAY DIFFRACTION
10.1073/pnas.97.5.2023,"['1DFU']","['1999']",1,X-RAY DIFFRACTION
10.1073/pnas.96.25.14252,"['1DV4']","['2000']",1,X-RAY DIFFRACTION
10.1073/pnas.1916436117,"['6UZ7']","['2019']",1,ELECTRON MICROSCOPY
10.1073/pnas.1914323117,"['7BV8']","['2020']",1,ELECTRON MICROSCOPY
10.1073/pnas.1821754116,"['6UO1']","['2019']",1,X-RAY DIFFRACTION
10.1016/j.str.2009.09.015,"['4V7H']","['2009']",1,ELECTRON MICROSCOPY
10.1073/pnas.1810523115,"['6I0Y']","['2018']",1,ELECTRON MICROSCOPY
10.1016/j.str.2018.01.009,"['5ON6']","['2017']",1,X-RAY DIFFRACTION
10.1073/pnas.1803313115,"['5ZLU']","['2018']",1,ELECTRON MICROSCOPY
10.1016/j.ymeth.2017.12.004,"['6BU8']","['2017']",1,ELECTRON MICROSCOPY
10.1017/S1355838200000303,"['1EMI']","['2000']",1,X-RAY DIFFRACTION
10.1073/pnas.1618016114,"['5UZ4']","['2017']",1,ELECTRON MICROSCOPY
10.1074/jbc.M114.572396,"['3DD9']","['2008']",1,X-RAY DIFFRACTION
10.1074/jbc.M805654200,"['3DD7']","['2008']",1,X-RAY DIFFRACTION
10.1073/PNAS.1204073109,"['4AQY']","['2012']",1,X-RAY DIFFRACTION
10.1016/j.str.2006.12.008,"['2E5L']","['2006']",1,X-RAY DIFFRACTION
10.1093/nar/gkv1365,"['5EM2']","['2015']",1,X-RAY DIFFRACTION
10.1093/nar/gku1135,"['3J8G']","['2014']",1,ELECTRON MICROSCOPY
10.1016/j.str.2004.04.023,"['1T0K']","['2004']",1,X-RAY DIFFRACTION
10.1093/nar/gks1259,"['4V6U']","['2012']",1,ELECTRON MICROSCOPY
10.1016/j.str.2005.08.007,"['2D3O']","['2005']",1,X-RAY DIFFRACTION
10.1093/nar/gkaa037,"['6PJ6']","['2019']",1,ELECTRON MICROSCOPY
10.1038/nsb915,"['1OND']","['2003']",1,X-RAY DIFFRACTION
10.1074/jbc.RA119.007410,"['6NDK']","['2018']",1,X-RAY DIFFRACTION
10.1093/emboj/19.3.317,"['1FBN']","['1999']",1,X-RAY DIFFRACTION
10.1016/j.str.2009.09.010,"['4V7I']","['2009']",1,ELECTRON MICROSCOPY
10.1093/NAR/GKT742,"['4V8X']","['2013']",1,X-RAY DIFFRACTION
10.1093/NAR/GKL1066,"['2JQ7']","['2007']",1,SOLUTION NMR
10.1083/jcb.201711131,"['5ZZM']","['2018']",1,ELECTRON MICROSCOPY
10.1083/jcb.150.3.447,"['1FCW']","['2000']",1,ELECTRON MICROSCOPY
10.1073/pnas.1614594113,"['5T5H']","['2016']",1,ELECTRON MICROSCOPY
10.1017/S1355838200001060,"['1EH1']","['2000']",1,X-RAY DIFFRACTION
10.1021/bi962474+,"['1BRY']","['1997']",1,X-RAY DIFFRACTION
10.1073/pnas.0709856104,"['4V61']","['2007']",1,ELECTRON MICROSCOPY
10.1038/NATURE11872,"['4V8M']","['2012']",1,ELECTRON MICROSCOPY
10.1038/NATURE12890,"['4CE4']","['2013']",1,ELECTRON MICROSCOPY
10.1073/pnas.1003995107,"['4V5J']","['2010']",1,X-RAY DIFFRACTION
10.1073/pnas.0811370106,"['4V69']","['2008']",1,ELECTRON MICROSCOPY
10.1073/pnas.0810953105,"['4V67']","['2008']",1,X-RAY DIFFRACTION
10.1073/pnas.0804276105,"['3DLL']","['2008']",1,X-RAY DIFFRACTION
10.1073/pnas.0707850104,"['4V4J']","['2007']",1,X-RAY DIFFRACTION
10.1021/bi982819j,"['1LOU']","['1998']",1,X-RAY DIFFRACTION
10.1038/NCOMMS8646,"['5A2Q']","['2015']",1,ELECTRON MICROSCOPY
10.1073/pnas.0607541103,"['4V50']","['2006']",1,X-RAY DIFFRACTION
10.1073/pnas.0505581102,"['2AAR']","['2005']",1,X-RAY DIFFRACTION
10.1038/NSMB.2425,"['4V8T']","['2012']",1,ELECTRON MICROSCOPY
10.1038/NSMB.2545,"['4V8N']","['2013']",1,X-RAY DIFFRACTION
10.1073/PNAS.1424453112,"['5AKA']","['2015']",1,ELECTRON MICROSCOPY
10.1038/NATURE02899,"['1W2B']","['2004']",1,X-RAY DIFFRACTION
10.1038/EMBOJ.2008.89,"['2VRH']","['2008']",1,ELECTRON MICROSCOPY
10.1038/74028,"['1DK1']","['1999']",1,X-RAY DIFFRACTION
10.1038/35030019,"['1FJG']","['2000']",1,X-RAY DIFFRACTION
10.1038/35030006,"['1J5E']","['2002']",1,X-RAY DIFFRACTION
10.1038/23641,"['1C04']","['1999']",1,X-RAY DIFFRACTION
10.1038/23631,"['1QD7']","['1999']",1,X-RAY DIFFRACTION
10.1073/pnas.1304922110,"['4V9Q']","['2013']",1,X-RAY DIFFRACTION
10.1073/pnas.1320387110,"['4V7B']","['2013']",1,ELECTRON MICROSCOPY
10.1073/pnas.1401657111,"['3JD5']","['2016']",1,ELECTRON MICROSCOPY
10.1073/pnas.1402789111,"['4OX9']","['2014']",1,X-RAY DIFFRACTION
10.1021/jm800379d,"['3CPW']","['2008']",1,X-RAY DIFFRACTION
10.1021/jacs.9b01693,"['6O97']","['2019']",1,X-RAY DIFFRACTION
10.1073/pnas.1414401111,"['4WF1']","['2014']",1,X-RAY DIFFRACTION
10.1073/pnas.1501775112,"['3J9Y']","['2015']",1,ELECTRON MICROSCOPY
10.1021/cb5003224,"['4P6F']","['2014']",1,X-RAY DIFFRACTION
10.1073/pnas.1522932113,"['5J8B']","['2016']",1,X-RAY DIFFRACTION
10.1093/emboj/20.15.4214,"['1JJ2']","['2001']",1,X-RAY DIFFRACTION
